checkpoint,checkpoint_label,state_index,producing_block,mixing_weight_pct
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,38,37.0,0.0001817976
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,39,38.0,0.0001926468
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,40,39.0,0.000215483
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,41,40.0,0.0002419443
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,42,41.0,0.0003584521
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,43,42.0,0.0003504004
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,44,43.0,0.0004422393
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,45,44.0,0.0007036104
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,46,45.0,0.0007761461
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,47,46.0,0.004011744
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,48,47.0,0.5543104566
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,49,48.0,2.6084781284
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,50,49.0,2.6961259086
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,51,50.0,10.2527242574
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,52,51.0,3.7206198931
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,53,52.0,2.8094709816
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,54,53.0,0.1685285772
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,55,54.0,0.0311521989
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,56,55.0,0.0067884669
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,57,56.0,0.01223825
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,58,57.0,0.010595596
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,59,58.0,0.0130224005
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,60,59.0,0.0413638158
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,61,60.0,0.3968147643
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,62,61.0,0.3955682788
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,63,62.0,0.1427187749
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,64,63.0,0.0137663839
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,65,64.0,0.0051513409
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,66,65.0,0.0018593553
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,67,66.0,0.0013634999
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,68,67.0,0.0015171
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,69,68.0,0.0006984945
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,70,69.0,0.0004550816
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,71,70.0,0.0004690347
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,72,71.0,0.0007624941
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,73,72.0,0.0017131618
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,74,73.0,0.5873421843
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,75,74.0,1.8095197724
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,76,75.0,4.2357223445
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,77,76.0,5.2352908604
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,78,77.0,12.4935421733
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,79,78.0,19.911243322
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,80,79.0,24.5703439719
